RecordingTimestamp	GazePointX (ADCSpx)	GazePointY (ADCSpx)	IRMarkerID	
6833	366	244	11, 13, 14, 17, 18, 29	
6867	368	250	11, 13, 14, 17, 18, 29	
6900	369	251	11, 13, 14, 17, 18, 29	
6933	371	251	11, 13, 14, 17, 18, 29	
6967	378	240	11, 13, 14, 17, 18, 29	
7000	398	177	11, 13, 14, 17, 18, 29	
7033	399	177	11, 13, 14, 17, 18, 29	
7067	400	177	11, 13, 14, 17, 18, 29	
7100	401	179	11, 13, 14, 17, 18, 29	
7133	402	179	11, 13, 14, 17, 18, 29	
7167	403	180	11, 13, 14, 17, 18, 29	
7200	402	180	11, 13, 14, 17, 18, 29	
7233	403	181	11, 13, 14, 17, 18, 29	
7267	405	181	11, 13, 14, 17, 18, 29	
7300	406	182	11, 13, 14, 17, 18, 29	
7333	406	182	11, 13, 14, 17, 18, 29	
7367	408	184	11, 13, 14, 17, 18, 29	
7400	405	183	11, 13, 14, 17, 18, 29	
7433	404	183	11, 13, 14, 17, 18, 29	
7467	404	184	11, 13, 14, 17, 18, 29	
7500	407	186	11, 13, 14, 17, 18, 29	
7533	386	175	11, 13, 14, 17, 18, 29	
7567	386	174	11, 13, 14, 17, 18, 29	
7600	386	175	11, 13, 14, 17, 18, 29	
7633	386	176	11, 13, 14, 17, 18, 29	
7667	385	176	11, 13, 14, 17, 18, 29	
7700	384	176	11, 13, 14, 17, 18, 29	
7733	384	176	11, 13, 14, 17, 18, 29	
7767	386	179	11, 13, 14, 17, 18, 29	
7800	385	176	11, 13, 14, 17, 18, 29	
7833	386	180	11, 13, 14, 17, 18, 29	
7867	374	170	11, 13, 14, 17, 18, 29	
7900	331	157	11, 13, 14, 17, 18, 29	
7933	335	161	11, 13, 14, 17, 18, 29	
7967	337	162	11, 13, 14, 17, 18, 29	
8000	332	161	11, 13, 14, 17, 18, 29	
8033	386	169	11, 13, 14, 17, 18, 29	
8067	382	172	11, 13, 14, 17, 18, 29	
8100	382	173	11, 13, 14, 17, 18, 29	
8133	382	176	11, 13, 14, 17, 18, 29	
8167	385	180	11, 13, 14, 17, 18, 29	
